CompId	Annotation	NumberOfNodes	EValue
4	NCTC8325intergenic_1547147-1547620	40	1.470000e-48
4	TCH1516intergenic_1644534-1645007	38	1.470000e-48
4	USA300HOU_RS07915;DBGWAS_general_tag=hypothetical_protein	11	1.060000e-44
4	USA300HOU_RS13110;DBGWAS_general_tag=hypothetical_protein	5	6.130000e-25
4	SAOUHSC_02711;DBGWAS_general_tag=hypothetical_protein	5	6.130000e-25
4	TCH1516intergenic_168320-168692	7	6.130000e-25
4	NCTC8325intergenic_113710-114082	7	6.130000e-25
4	NCTC8325intergenic_2133481-2134740	2	1.940000e-10
4	TCH1516intergenic_2186942-2187060	2	6.980000e-10
4	USA300HOU_RS03360;DBGWAS_general_tag=hypothetical_protein	17	1.860000e-47
4	SAOUHSC_00621;DBGWAS_general_tag=hypothetical_protein	31	1.860000e-47
4	USA300HOU_RS06595;DBGWAS_general_tag=hypothetical_protein	9	1.320000e-26
4	SAOUHSC_01288;DBGWAS_general_tag=hypothetical_protein	9	1.320000e-26
4	TCH1516intergenic_1601133-1601200	40	2.870000e-18
4	NCTC8325intergenic_2069439-2070260	39	2.100000e-15
4	NCTC8325intergenic_1502932-1502986	37	6.930000e-13
4	USA300HOU_RS08165;DBGWAS_general_tag=elongation_factor_P	1	5.800000e-19
4	SAOUHSC_01625;DBGWAS_general_tag=elongation_factor_P	1	5.800000e-19
4	USA300HOU_RS07680;DBGWAS_general_tag=hypothetical_protein	2	1.170000e-49
4	SAOUHSC_01520;DBGWAS_general_tag=SLT_orf_488-like_protein	2	1.170000e-49
4	NCTC8325intergenic_2574892-2575196	49	5.690000e-25
4	TCH1516intergenic_2626400-2626705	51	6.130000e-25
4	USA300HOU_RS00565;DBGWAS_general_tag=aspartate_aminotransferase	15	2.080000e-41
4	SAOUHSC_00064;DBGWAS_general_tag=hypothetical_protein	15	2.080000e-41
4	USA300HOU_RS13490;DBGWAS_general_tag=helicase	13	1.320000e-26
4	SAOUHSC_02790;DBGWAS_general_tag=hypothetical_protein	13	1.320000e-26
4	USA300HOU_RS10805;DBGWAS_general_tag=hypothetical_protein	20	4.620000e-26
4	USA300HOU_RS07920;DBGWAS_general_tag=hypothetical_protein	16	1.320000e-26
4	USA300HOU_RS10960;DBGWAS_general_tag=accessory_gene_regulator_AgrB	1	2.140000e-09
4	SAOUHSC_02261;DBGWAS_general_tag=accessory_gene_regulator_protein_B	1	2.140000e-09
4	TCH1516intergenic_1100436-1100765	5	6.130000e-25
4	NCTC8325intergenic_1006364-1006693	5	6.130000e-25
4	USA300HOU_RS13935;DBGWAS_general_tag=N-acetyltransferase	9	7.740000e-24
4	SAOUHSC_02886;DBGWAS_general_tag=hypothetical_protein	9	7.740000e-24
4	USA300HOU_RS11230;DBGWAS_general_tag=DNA-binding_response_regulator	5	1.190000e-65
4	SAOUHSC_02315;DBGWAS_general_tag=DNA-binding_response_regulator	5	1.190000e-65
4	TCH1516intergenic_2504075-2504339	13	6.130000e-25
4	NCTC8325intergenic_2451024-2451288	13	6.130000e-25
4	TCH1516intergenic_680894-681137	54	9.860000e-17
4	TCH1516intergenic_1868593-1869062	1	1.770000e-09
4	TCH1516intergenic_1716986-1717311	1	1.770000e-09
4	NCTC8325intergenic_1771403-1771872	1	1.770000e-09
4	NCTC8325intergenic_1619566-1619924	1	1.770000e-09
4	USA300HOU_RS03280;DBGWAS_general_tag=hypothetical_protein	9	7.550000e-24
4	SAOUHSC_01573;DBGWAS_general_tag=hypothetical_protein	5	4.620000e-26
4	USA300HOU_RS00235;DBGWAS_general_tag=HNH_endonuclease	4	1.520000e-12
4	USA300HOU_RS09605;DBGWAS_general_tag=NTPase	1	1.820000e-09
4	SAOUHSC_01931;DBGWAS_general_tag=hypothetical_protein	1	1.820000e-09
4	TCH1516intergenic_1338065-1338557	2	3.690000e-22
4	NCTC8325intergenic_1244148-1244640	2	3.690000e-22
4	USA300HOU_RS11845;DBGWAS_general_tag=glycine/betaine_ABC_transporter_permease	4	5.320000e-19
4	SAOUHSC_02444;DBGWAS_general_tag=BCCT_family_osmoprotectant_transporter	4	5.320000e-19
4	TCH1516intergenic_368566-368843	5	2.960000e-93
4	NCTC8325intergenic_310582-310859	5	2.960000e-93
4	TCH1516intergenic_863471-863810	1	1.820000e-09
4	NCTC8325intergenic_783361-783700	1	1.820000e-09
4	NCTC8325intergenic_2068365-2068423	20	3.710000e-17
4	TCH1516intergenic_2121647-2121705	26	1.030000e-17
4	USA300HOU_RS15580;DBGWAS_general_tag=YSIRK_signal_domain/LPXTG_anchor_domain_surface_protein	9	6.170000e-20
4	SAOUHSC_02798;DBGWAS_general_tag=hypothetical_protein	9	6.170000e-20
4	TCH1516intergenic_2255322-2255636	2	3.630000e-21
4	NCTC8325intergenic_2201850-2202164	2	3.630000e-21
4	USA300HOU_RS13620;DBGWAS_general_tag=MFS_transporter	1	1.820000e-09
