CompId	Annotation	NumberOfNodes	EValue
25	NCTC8325intergenic_1965771-1965882	10	1.030000e-22
25	TCH1516intergenic_2127058-2127248	9	5.210000e-13
25	NCTC8325intergenic_2073429-2073536	10	3.770000e-28
25	USA300HOU_RS04430;DBGWAS_general_tag=enterotoxin	9	6.130000e-25
25	USA300HOU_RS04425;DBGWAS_general_tag=exotoxin	22	1.600000e-37
25	SAOUHSC_02239;DBGWAS_general_tag=integrase	1	5.490000e-39
25	USA300HOU_RS10860;DBGWAS_general_tag=site-specific_integrase	1	2.550000e-37
25	TCH1516intergenic_897164-897251	10	3.690000e-22
25	NCTC8325intergenic_1507166-1507291	1	6.360000e-21
25	TCH1516intergenic_1604554-1604679	1	2.960000e-19
