CompId	Annotation	NumberOfNodes	EValue
85	NCTC8325intergenic_2778589-2779035	74	6.130000e-25
85	NCTC8325intergenic_1078372-1078815	78	6.130000e-25
85	TCH1516intergenic_2830371-2830448	51	6.130000e-25
85	SAOUHSC_00896;DBGWAS_general_tag=hypothetical_protein	27	6.130000e-25
85	USA300HOU_RS15155;DBGWAS_general_tag=hypothetical_protein	61	6.130000e-25
85	SAOUHSC_00786;DBGWAS_general_tag=hypothetical_protein	50	2.850000e-23
85	NCTC8325intergenic_1776134-1776997	35	1.210000e-23
85	USA300HOU_RS15355;DBGWAS_general_tag=hypothetical_protein	34	5.890000e-19
85	USA300HOU_RS01810;DBGWAS_general_tag=hypothetical_protein	39	6.130000e-25
85	SAOUHSC_00323;DBGWAS_general_tag=hypothetical_protein	30	6.130000e-25
85	NCTC8325intergenic_1074074-1074499	16	6.090000e-12
85	USA300HOU_RS15210;DBGWAS_general_tag=nitrogen_fixation_protein_NifR	14	5.810000e-11
85	TCH1516intergenic_891806-892323	24	2.150000e-24
85	USA300HOU_RS15150;DBGWAS_general_tag=hypothetical_protein	13	5.130000e-12
85	NCTC8325intergenic_762508-763169	13	5.130000e-12
85	NCTC8325intergenic_730573-730849	13	9.520000e-23
85	USA300HOU_RS03960;DBGWAS_general_tag=hypothetical_protein	18	6.650000e-19
85	SAOUHSC_00744;DBGWAS_general_tag=hypothetical_protein	18	6.650000e-19
85	USA300HOU_RS15140;DBGWAS_general_tag=hypothetical_protein	4	2.990000e-11
85	USA300HOU_RS15520;DBGWAS_general_tag=hypothetical_protein	24	1.330000e-21
85	USA300HOU_RS15255;DBGWAS_general_tag=hypothetical_protein	4	2.510000e-09
85	TCH1516intergenic_811395-<811444	9	1.110000e-16
85	SAOUHSC_02534;DBGWAS_general_tag=hypothetical_protein	13	2.050000e-18
85	SAOUHSC_01118;DBGWAS_general_tag=hypothetical_protein	4	2.510000e-09
85	SAOUHSC_02535;DBGWAS_general_tag=hypothetical_protein	18	1.330000e-21
85	USA300HOU_RS15415;DBGWAS_general_tag=hypothetical_protein	4	5.410000e-11
85	NCTC8325intergenic_1987536-1988118	9	8.040000e-14
85	SAOUHSC_00839;DBGWAS_general_tag=hypothetical_protein	14	1.290000e-21
85	USA300HOU_RS05840;DBGWAS_general_tag=hypothetical_protein	19	6.170000e-20
85	USA300HOU_RS15275;DBGWAS_general_tag=DUF3125_domain-containing_protein	11	2.170000e-19
85	NCTC8325intergenic_1286269-1287160	11	2.170000e-19
85	NCTC8325intergenic_977455-978260	10	1.290000e-21
85	TCH1516intergenic_1071528-1072182	10	4.660000e-21
85	USA300HOU_RS15305;DBGWAS_general_tag=DUF3125_domain-containing_protein	5	6.210000e-15
85	SAOUHSC_01441;DBGWAS_general_tag=hypothetical_protein	5	6.210000e-15
85	USA300HOU_RS15330;DBGWAS_general_tag=hypothetical_protein	9	2.740000e-17
85	SAOUHSC_01687;DBGWAS_general_tag=hypothetical_protein	9	2.740000e-17
85	USA300HOU_RS05425;DBGWAS_general_tag=DUF3125_domain-containing_protein	8	1.270000e-15
85	SAOUHSC_A00992;DBGWAS_general_tag=hypothetical_protein	8	1.270000e-15
85	USA300HOU_RS15615;DBGWAS_general_tag=hypothetical_protein	7	1.520000e-13
85	TCH1516intergenic_954346-954583	2	1.730000e-11
85	USA300HOU_RS15215;DBGWAS_general_tag=hypothetical_protein	1	1.310000e-11
85	USA300HOU_RS15550;DBGWAS_general_tag=hypothetical_protein	1	2.200000e-09
85	USA300HOU_RS15180;DBGWAS_general_tag=DUF3125_domain-containing_protein	1	2.200000e-09
85	USA300HOU_RS15120;DBGWAS_general_tag=hypothetical_protein	1	2.200000e-09
85	USA300HOU_RS15115;DBGWAS_general_tag=hypothetical_protein	1	2.200000e-09
85	NCTC8325intergenic_2501982-2502475	1	2.200000e-09
85	NCTC8325intergenic_811453-811871	1	2.200000e-09
85	NCTC8325intergenic_720044-720394	1	2.200000e-09
85	NCTC8325intergenic_603627-604015	1	2.200000e-09
85	USA300HOU_RS15620;DBGWAS_general_tag=hypothetical_protein	9	6.130000e-25
