CompId	Annotation	NumberOfNodes	EValue
3	USA300HOU_RS00135;DBGWAS_general_tag=hypothetical_protein	27	1.000000e-71
3	USA300HOU_RS14800;DBGWAS_general_tag=aminoglycoside_O-phosphotransferase_APH(3\')-IIIa	33	4.180000e-27
3	TCH1516intergenic_12245-12506	22	5.580000e-20
3	TCH1516intergenic_25102-25347	2	5.810000e-11
3	USA300HOU_RS14915;DBGWAS_general_tag=thiolase-like_protein	21	5.880000e-42
3	TCH1516intergenic_35769-35876	5	3.510000e-22
3	USA300HOU_RS14945;DBGWAS_general_tag=IS6_family_transposase	6	2.130000e-14
3	USA300HOU_RS00140;DBGWAS_general_tag=IS6_family_transposase_IS431mec	6	2.130000e-14
3	USA300HOU_RS14860;DBGWAS_general_tag=ABC-F_type_ribosomal_protection_protein_Msr(A)	6	6.130000e-25
3	TCH1516intergenic_21070-21543	49	6.130000e-25
3	USA300HOU_RS06970;DBGWAS_general_tag=anthranilate_phosphoribosyltransferase	10	6.130000e-25
3	SAOUHSC_01368;DBGWAS_general_tag=anthranilate_phosphoribosyltransferase	10	6.130000e-25
3	USA300HOU_RS14820;DBGWAS_general_tag=IS6_family_transposase	4	2.130000e-14
3	USA300HOU_RS14790;DBGWAS_general_tag=IS6-like_element_IS257_family_transposase	4	2.130000e-14
3	USA300HOU_RS14825;DBGWAS_general_tag=hypothetical_protein	16	1.820000e-36
3	USA300HOU_RS15665;DBGWAS_general_tag=hypothetical_protein	5	1.530000e-19
3	TCH1516intergenic_1524-2387	5	3.320000e-16
3	USA300HOU_RS14890;DBGWAS_general_tag=replication_protein	10	2.850000e-23
3	TCH1516intergenic_16282-16386	2	1.940000e-10
3	USA300HOU_RS15420;DBGWAS_general_tag=hypothetical_protein	1	2.040000e-09
3	NCTC8325intergenic_2001478-2002338	1	2.040000e-09
3	TCH1516intergenic_84981-86000	1	2.450000e-14
3	TCH1516intergenic_7390-7915	3	2.800000e-18
3	USA300HOU_RS06965;DBGWAS_general_tag=glutamine_amidotransferase	10	6.130000e-25
3	SAOUHSC_01367;DBGWAS_general_tag=anthranilate_synthase_component_II	10	6.130000e-25
3	USA300HOU_RS14940;DBGWAS_general_tag=hypothetical_protein	4	1.560000e-15
3	USA300HOU_RS00295;DBGWAS_general_tag=hypothetical_protein	5	6.130000e-25
3	TCH1516intergenic_76888-77075	2	6.130000e-25
3	USA300HOU_RS14865;DBGWAS_general_tag=Mph(C)_family_macrolide_2\'-phosphotransferase	3	9.260000e-40
3	USA300HOU_RS14870;DBGWAS_general_tag=recombinase_family_protein	3	1.520000e-12
3	USA300HOU_RS00335;DBGWAS_general_tag=universal_stress_protein	1	2.200000e-09
3	USA300HOU_RS14840;DBGWAS_general_tag=hypothetical_protein	1	2.090000e-09
3	TCH1516intergenic_2334995-2335031	1	9.720000e-09
3	NCTC8325intergenic_2281629-2281665	1	9.720000e-09
3	USA300HOU_RS14765;DBGWAS_general_tag=penicillin-hydrolyzing_class_A_beta-lactamase_BlaZ	3	9.550000e-40
3	USA300HOU_RS00165;DBGWAS_general_tag=beta-lactam_sensor/signal_transducer_MecR1	2	5.810000e-11
3	TCH1516intergenic_76171-76214	5	5.210000e-13
3	TCH1516intergenic_1908934-1909193	1	1.820000e-09
3	NCTC8325intergenic_1811875-1812134	1	1.820000e-09
3	TCH1516intergenic_1340168-1340868	1	1.820000e-09
3	NCTC8325intergenic_1246251-1246951	1	1.820000e-09
3	TCH1516intergenic_2445641-2446127	2	3.260000e-15
3	NCTC8325intergenic_2392289-2392775	2	3.260000e-15
3	USA300HOU_RS05135;DBGWAS_general_tag=ABC_transporter_ATP-binding_protein	2	2.440000e-23
3	SAOUHSC_00970;DBGWAS_general_tag=ABC_transporter_ATP-binding_protein	2	2.440000e-23
3	USA300HOU_RS14855;DBGWAS_general_tag=IS6_family_transposase	1	6.940000e-09
3	USA300HOU_RS04490;DBGWAS_general_tag=hypothetical_protein	1	5.510000e-10
3	TCH1516intergenic_36551-36586	2	2.700000e-09
3	TCH1516intergenic_13181-13349	1	1.930000e-09
3	TCH1516intergenic_20326-20395	1	1.940000e-10
3	USA300HOU_RS14880;DBGWAS_general_tag=transcriptional_regulator	2	1.040000e-21
3	USA300HOU_RS14805;DBGWAS_general_tag=streptothricin_N-acetyltransferase_Sat4	1	1.980000e-09
3	USA300HOU_RS14830;DBGWAS_general_tag=ABC_transporter_permease	1	1.770000e-09
